PINN Sim | Step: 29000 | Ep: 1302 | Reward: -3.4664 | Mass: 1991.9
PINN Sim | Step: 29100 | Ep: 1306 | Reward: -2.2235 | Mass: 1992.4
PINN Sim | Step: 29200 | Ep: 1308 | Reward: -3.0177 | Mass: 1963.9
PINN Sim | Step: 29300 | Ep: 1312 | Reward: 2.2291 | Mass: 2000.2
PINN Sim | Step: 29400 | Ep: 1316 | Reward: -4.2526 | Mass: 1972.2
PINN Sim | Step: 29500 | Ep: 1319 | Reward: -5.4686 | Mass: 1978.2
PINN Sim | Step: 29600 | Ep: 1323 | Reward: 1.7891 | Mass: 1999.1
PINN Sim | Step: 29700 | Ep: 1326 | Reward: -7.0480 | Mass: 1989.7
PINN Sim | Step: 29800 | Ep: 1329 | Reward: -4.7922 | Mass: 1955.1
PINN Sim | Step: 29900 | Ep: 1332 | Reward: -2.2714 | Mass: 1988.0
PINN Sim | Step: 30000 | Ep: 1336 | Reward: -4.8811 | Mass: 1993.8
PINN Sim | Step: 30100 | Ep: 1339 | Reward: -6.6598 | Mass: 1989.2
PINN Sim | Step: 30200 | Ep: 1343 | Reward: -6.9547 | Mass: 1977.5
PINN Sim | Step: 30300 | Ep: 1348 | Reward: -7.4412 | Mass: 1996.6
PINN Sim | Step: 30400 | Ep: 1351 | Reward: -7.9571 | Mass: 1960.5
PINN Sim | Step: 30500 | Ep: 1355 | Reward: -10.0000 | Mass: 1962.2
PINN Sim | Step: 30600 | Ep: 1359 | Reward: -6.6242 | Mass: 1961.9
PINN Sim | Step: 30700 | Ep: 1363 | Reward: -8.0029 | Mass: 1983.4
PINN Sim | Step: 30800 | Ep: 1367 | Reward: -2.9504 | Mass: 1992.5
PINN Sim | Step: 30900 | Ep: 1371 | Reward: -2.0662 | Mass: 1995.3
PINN Sim | Step: 31000 | Ep: 1374 | Reward: -6.3029 | Mass: 1996.6
PINN Sim | Step: 31100 | Ep: 1378 | Reward: -2.7926 | Mass: 1995.9
PINN Sim | Step: 31200 | Ep: 1381 | Reward: -2.8766 | Mass: 1967.5
PINN Sim | Step: 31300 | Ep: 1384 | Reward: -8.1960 | Mass: 1974.2
PINN Sim | Step: 31400 | Ep: 1388 | Reward: 1.1958 | Mass: 2000.0
